moniker,centralised_exchange_wallet,remarks,val_address,acc_address,prop_69_vote,tokens,shares,ts_ratio,height
🇨🇭 Vortex.live 🟢,,,cosmosvaloper1gxju9ky3hwxvqqagrl3dxtl49kjpxq6wlqe6m5,cosmos1gxju9ky3hwxvqqagrl3dxtl49kjpxq6w65d0h8,VOTE_OPTION_NO,448935599854,448935599854,1,10562840
StakeWithUs,,,cosmosvaloper1jlr62guqwrwkdt4m3y00zh2rrsamhjf9num5xr,cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,VOTE_OPTION_NO,437037319064,437037319064,1,10562840
Compass,,,cosmosvaloper1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8n583gx,cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,VOTE_OPTION_NO,436085590104,436129202924,0.9999000002,10562840
cosmosgbt,,https://bitstack.com/,cosmosvaloper1x8rr4hcf54nz6hfckyy2n05sxss54h8wz9puzg,cosmos1x8rr4hcf54nz6hfckyy2n05sxss54h8w834fwm,VOTE_NIL,422055512560,422097722079,0.9999000006,10562840
Easy 2 Stake,,,cosmosvaloper1e0plfg475phrsvrlzw8gwppeva0zk5yg9fgg8c,cosmos1e0plfg475phrsvrlzw8gwppeva0zk5ygqauatt,VOTE_OPTION_NO,408662909612,408662909612,1,10562840
Ping.pub,,,cosmosvaloper1jxv0u20scum4trha72c7ltfgfqef6nsch7q6cu,cosmos1jxv0u20scum4trha72c7ltfgfqef6nscj25050,VOTE_OPTION_NO,401967863063,401967863063,1,10562840
syncnode,,,cosmosvaloper19j2hd230c3hw6ds843yu8akc0xgvdvyuz9v02v,cosmos19j2hd230c3hw6ds843yu8akc0xgvdvyu83c6xl,VOTE_OPTION_ABSTAIN,397532030953,397532030953,1,10562840
kytzu,,,cosmosvaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vp3u2x3u,cosmos1wtv0kp6ydt03edd8kyr5arr4f3yc52vp5g7na0,VOTE_OPTION_YES,396574481395,396574481395,1,10562840
WeStaking,,,cosmosvaloper1ptyzewnns2kn37ewtmv6ppsvhdnmeapvtfc9y5,cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,VOTE_OPTION_NO,381269755423,381269755423,1,10562840
Staking Fund,,,cosmosvaloper1000ya26q2cmh399q4c5aaacd9lmmdqp90kw2jn,cosmos1000ya26q2cmh399q4c5aaacd9lmmdqp92z6l7q,VOTE_OPTION_YES,356022363091,356022363091,1,10562840
UbikCapital(0%Commission),,,cosmosvaloper1q6d3d089hg59x6gcx92uumx70s5y5wadklue8s,cosmos1q6d3d089hg59x6gcx92uumx70s5y5wadntgvtr,VOTE_OPTION_NO,350066305229,350066305229,1,10562840
nylira.net,,,cosmosvaloper13sduv92y3xdhy3rpmhakrc3v7t37e7ps9l0kpv,cosmos13sduv92y3xdhy3rpmhakrc3v7t37e7psqtmrdl,VOTE_OPTION_NO_WITH_VETO,348155440605,348225082008,0.9998000104,10562840
POSTHUMAN ꝏ DVS,,,cosmosvaloper157v7tczs40axfgejp2m43kwuzqe0wsy0rv8puv,cosmos157v7tczs40axfgejp2m43kwuzqe0wsy0xcn5sl,VOTE_OPTION_NO,346011781040,346011781040,1,10562840
Sentinel,,,cosmosvaloper1u6ddcsjueax884l3tfrs66497c7g86skn7pa0u,cosmos1u6ddcsjueax884l3tfrs66497c7g86skk24gr0,VOTE_NIL,336323881847,336357517282,0.9999000009,10562840
Stakin,,,cosmosvaloper1fhr7e04ct0zslmkzqt9smakg3sxrdve6ulclj2,cosmos1fhr7e04ct0zslmkzqt9smakg3sxrdve6etv27e,VOTE_OPTION_YES,333362383612,333362383612,1,10562840
dForce,,,cosmosvaloper1cc99d3xcukhedg4wcw53j7a9q68uza707vpfe7,cosmos1cc99d3xcukhedg4wcw53j7a9q68uza70mc4u4d,VOTE_OPTION_NO,331514743805,331514743805,1,10562840
EZStaking.io,,,cosmosvaloper1gjtvly9lel6zskvwtvlg5vhwpu9c9waw7sxzwx,cosmos1gjtvly9lel6zskvwtvlg5vhwpu9c9wawmyjhz4,VOTE_OPTION_NO_WITH_VETO,322595946298,322595946298,1,10562840
Nocturnal Labs,,,cosmosvaloper1dqp325was50l7ut2lnx6s8xhmtwj3wrtx06gzu,cosmos1dqp325was50l7ut2lnx6s8xhmtwj3wrtrmwaw0,VOTE_OPTION_YES,315843750817,315875338343,0.9999,10562840
天照☀,,,cosmosvaloper1dt93l3qgmhhlp97srjyqyendrgu9nx0suxtwe8,cosmos1dt93l3qgmhhlp97srjyqyendrgu9nx0sejlm45,VOTE_OPTION_NO,295729260765,295758836294,0.9999000012,10562840
stakezone,,,cosmosvaloper1lcwxu50rvvgf9v6jy6q5mrzyhlszwtjxhtscmp,cosmos1lcwxu50rvvgf9v6jy6q5mrzyhlszwtjxjlydhj,VOTE_NIL,295323648257,295353183519,0.9999000002,10562840
DeFi Wallet,,run by crypto.com ,cosmosvaloper1keltez56g3zm9w8wr8gcmmulze48g2q3usuw8c,cosmos1keltez56g3zm9w8wr8gcmmulze48g2q3eygmtt,VOTE_NIL,292890426624,292890426624,1,10562840
FreshATOMS.com,,,cosmosvaloper17h2x3j7u44qkrq0sk8ul0r2qr440rwgjkfg0gh,cosmos17h2x3j7u44qkrq0sk8ul0r2qr440rwgjnau6yy,VOTE_OPTION_NO,292080384358,292080384358,1,10562840
SmartNodes,,,cosmosvaloper1hdrlqvyjfy5sdrseecjrutyws9khtxxaux62l7,cosmos1hdrlqvyjfy5sdrseecjrutyws9khtxxaejwlnd,VOTE_OPTION_NO_WITH_VETO,273595197053,273622556418,0.9999000106,10562840
debo-validator,,closing the validator service,cosmosvaloper1z66j0z75a9flwnez7sa8jxx46cqu4rfhd9q82w,cosmos1z66j0z75a9flwnez7sa8jxx46cqu4rfhg35jxa,VOTE_OPTION_NO,264391015268,264417456842,0.9999000006,10562840
Witval,,,cosmosvaloper1ddle9tczl87gsvmeva3c48nenyng4n56nghmjk,cosmos1ddle9tczl87gsvmeva3c48nenyng4n56kurw79,VOTE_OPTION_ABSTAIN,264156296035,264156296035,1,10562840
#decentralizehk - DHK dao,,,cosmosvaloper1m73mgwn3cm2e8x9a9axa0kw8nqz8a492ms63vn,cosmos1m73mgwn3cm2e8x9a9axa0kw8nqz8a4927ywyqq,VOTE_OPTION_NO,254288989882,254314420491,0.9999000033,10562840
